Modulo,Menu,RutaFrontend,ArchivoFrontend,Endpoint,ArchivoBackend,TablaEDARSAHUB,JobSync,OrigenSync,Frecuencia,UsaSelectedServer,SelectedServerModo,UsaUnidadNegocioID,UsaEmpresaID,UsaServidorConexionID,LeeMongoDB,FallbackMongoDB,CacheFrontend,CacheBackend,ConexionLive,Clasificacion,Riesgo,Correccion,Prioridad
Comercial,Tablero Ejecutivo,/tablero-ejecutivo,TableroEjecutivo.js,GET /api/v2/comercial/dashboard,comercial_v2/routes.py,Comercial_KPIs_Diarios_v2,sync_comercial_v2,SR/MPRO,5min,NO,N/A,SI,SI,NO,NO,NO,React Query,LRU 5min,NO,OK_SQL_ONLY,BAJO,Ninguna,OK
Comercial,Dashboard Server (Legacy),/comercial,Comercial.js,GET /comercial/dashboard/{server_id},comercial/routes.py,NINGUNA,NINGUNO,LIVE,N/A,SI,CONEXION_REAL,NO,NO,SI,NO,NO,NO,NO,SI,VIOLACION_LIVE_ENDPOINT,ALTO,Migrar a SQL snapshot,P0
Comercial,Sucursales,N/A,N/A,GET /comercial/sucursales/{server_id},comercial/routes.py,NINGUNA,NINGUNO,LIVE,N/A,SI,CONEXION_REAL,NO,NO,SI,NO,NO,NO,NO,SI,VIOLACION_LIVE_ENDPOINT,ALTO,Crear tabla Sync_Sucursales,P1
Comercial,Metas,N/A,N/A,GET /comercial/metas/{server_id},comercial/routes.py,NINGUNA,NINGUNO,LIVE,N/A,SI,CONEXION_REAL,NO,NO,SI,NO,NO,NO,NO,SI,VIOLACION_LIVE_ENDPOINT,ALTO,Crear tabla Sync_Metas,P1
Comercial,Ticket Perfecto,N/A,N/A,GET /comercial/ticket-perfecto/{server_id},comercial/routes.py,NINGUNA,NINGUNO,LIVE,N/A,SI,CONEXION_REAL,NO,NO,SI,NO,NO,NO,NO,SI,VIOLACION_LIVE_ENDPOINT,MEDIO,Crear tabla Sync_TicketPerfecto,P2
Comercial,Ventas por Hora,N/A,N/A,GET /comercial/ventas-tiempo/{server_id},comercial/routes.py,NINGUNA,NINGUNO,LIVE,N/A,SI,CONEXION_REAL,NO,NO,SI,NO,NO,NO,NO,SI,VIOLACION_LIVE_ENDPOINT,MEDIO,Crear tabla Sync_VentasHora,P2
Comercial,Mesas,N/A,N/A,GET /comercial/mesas/{server_id},comercial/routes.py,NINGUNA,NINGUNO,LIVE,N/A,SI,CONEXION_REAL,NO,NO,SI,NO,NO,NO,NO,SI,VIOLACION_LIVE_ENDPOINT,MEDIO,Crear tabla Sync_Mesas,P2
Comercial,Detalle Movimientos,N/A,N/A,GET /comercial/detalle-movimientos/{server_id},comercial/routes.py,NINGUNA,NINGUNO,LIVE,N/A,SI,CONEXION_REAL,NO,NO,SI,NO,NO,NO,NO,SI,VIOLACION_LIVE_ENDPOINT,MEDIO,Crear tabla Sync_Movimientos,P2
Comercial,Precios Constantes,N/A,N/A,GET /comercial/precios-constantes/{server_id},comercial/routes.py,NINGUNA,NINGUNO,LIVE,N/A,SI,CONEXION_REAL,NO,NO,SI,NO,NO,NO,NO,SI,VIOLACION_LIVE_ENDPOINT,MEDIO,Crear tabla Sync_Precios,P2
Comercial,Reporte PAX,N/A,N/A,GET /comercial/reporte-pax/{server_id},comercial/routes.py,NINGUNA,NINGUNO,LIVE,N/A,SI,CONEXION_REAL,NO,NO,SI,NO,NO,NO,NO,SI,VIOLACION_LIVE_ENDPOINT,MEDIO,Crear tabla Sync_PAX,P2
