archivo,linea,tipo_conexion,endpoint_detectado,evidencia
"/app/backend/modules/comercial/service.py","128","execute_sql_query","","        system_type,         activo     FROM Unidades_Negocio     WHERE activo = 1     ORDER BY orden     """"""          try:         result = execute_sql_query(             EDARSAHUB_TABLERO_CONFIG['host'],             EDARSAHUB_TABLERO_CONFIG['port'],             EDARSAHUB_TABLERO_CONFIG['database'],             EDARSAHUB_TABLERO_CONFIG['username'],             EDARSAHUB_TABLERO_CONFIG['password'],             query         )          "
"/app/backend/modules/comercial/service.py","480","execute_sql_query",""," def _query_edarsahub_tablero(query: str) -> List[Dict]:     """"""     Ejecuta query de SOLO LECTURA en EDARSAHUB para Tablero Ejecutivo.     Fuente: Comercial_KPIs_Diarios_v2 y Comercial_Ventas_Dia_Abiertas_v2.     NO usa MongoDB. NO usa servidores locales.     """"""     try:         result = execute_sql_query(             EDARSAHUB_TABLERO_CONFIG['host'],             EDARSAHUB_TABLERO_CONFIG['port'],             EDARSAHUB_TABLERO_CONFIG['database'],             EDARSAHUB_TABLERO_CONFIG['username'],             EDARSAHUB_TABLERO_CONFIG['password'],             query         )         return result or [] "
"/app/backend/modules/comercial/service.py","1336","get_server_by_id","","# ============================================================================ # OBTENER DATOS BÁSICOS # ============================================================================  async def obtener_sucursales_servidor(server_id: str) -> List[Dict]:     """"""     Obtiene las sucursales de un servidor.     """"""     server = await repo.get_server_by_id(server_id)     if not server:         raise HTTPException(status_code=404, detail=""Servidor no encontrado"")          return server.get('sucursales', [])   async def obtener_metas(server_id: str, sucursal: str, mes: int, anio: int) -> Dict:     """""" "
"/app/backend/modules/comercial/service.py","1937","execute_sql_query","","    # PASO 1: Detectar el último día real con ventas en el período     query_ultimo_dia = f"""""" SELECT MAX(CONVERT(DATE, VE.Vn_Fecha)) as ultimo_dia_venta FROM Venta_Encabezado VE WHERE VE.Vn_Fecha >= '{fi}' AND VE.Vn_Fecha <= '{ff}'   AND ISNULL(VE.Es_Cve_Estado, '') <> 'CA' """"""     try:         result_ultimo = execute_sql_query(server['host'], server['port'], server['database'],                                            server['username'], server['password'], query_ultimo_dia)         if result_ultimo and result_ultimo[0]['ultimo_dia_venta']:             ultimo_dia_venta = result_ultimo[0]['ultimo_dia_venta']             if isinstance(ultimo_dia_venta, str):                 # Parsear la fecha completa (YYYY-MM-DD)                 partes = ultimo_dia_venta.split('-') if '-' in ultimo_dia_venta else None                 if partes and len(partes) == 3:                     anio_ultimo = int(partes[0]) "
"/app/backend/modules/comercial/service.py","2063","execute_sql_query","","        query_ultimo_dia_suc = f"""""" SELECT MAX(CONVERT(DATE, VE.Vn_Fecha)) as ultimo_dia_venta FROM Venta_Encabezado VE WHERE VE.Sc_Cve_Sucursal = '{sucursal_id}'   AND VE.Vn_Fecha >= '{fi}' AND VE.Vn_Fecha <= '{ff}'   AND ISNULL(VE.Es_Cve_Estado, '') <> 'CA' """"""         try:             result_ultimo_suc = execute_sql_query(server['host'], server['port'], server['database'],                                                    server['username'], server['password'], query_ultimo_dia_suc)             if result_ultimo_suc and result_ultimo_suc[0]['ultimo_dia_venta']:                 ultimo_dia_suc = result_ultimo_suc[0]['ultimo_dia_venta']                 if isinstance(ultimo_dia_suc, str):                     dia_suc = int(ultimo_dia_suc.split('-')[2]) if '-' in ultimo_dia_suc else int(ultimo_dia_suc[-2:])                 else:                     dia_suc = ultimo_dia_suc.day                  "
"/app/backend/modules/comercial/service.py","2126","execute_sql_query","","    ISNULL(SUM(C.Co_Personas), 0) as pax FROM Venta_Encabezado VE LEFT JOIN Comanda C ON C.Co_Folio = VE.Vn_Folio AND C.Sc_Cve_Sucursal = VE.Sc_Cve_Sucursal WHERE VE.Sc_Cve_Sucursal = '{sucursal_id}'   AND CONVERT(varchar, VE.Vn_Fecha, 112) >= '{fia_suc}' AND CONVERT(varchar, VE.Vn_Fecha, 112) <= '{ffa_suc}'   AND ISNULL(VE.Es_Cve_Estado, '') <> 'CA' """"""         try:             r_ant = execute_sql_query(server['host'], server['port'], server['database'],                                        server['username'], server['password'], query_ant)             ventas_ant = float(r_ant[0]['ventas'] or 0) if r_ant else 0             cheques_ant = int(r_ant[0]['cheques'] or 0) if r_ant else 0             pax_ant = int(r_ant[0]['pax'] or 0) if r_ant else 0             if pax_ant == 0 and cheques_ant > 0:                 pax_ant = cheques_ant         except Exception:             ventas_ant, cheques_ant, pax_ant = 0, 0, 0 "
"/app/backend/modules/comercial/service.py","2149","execute_sql_query","","    ISNULL(SUM(C.Co_Personas), 0) as pax FROM Venta_Encabezado VE LEFT JOIN Comanda C ON C.Co_Folio = VE.Vn_Folio AND C.Sc_Cve_Sucursal = VE.Sc_Cve_Sucursal WHERE VE.Sc_Cve_Sucursal = '{sucursal_id}'   AND CONVERT(varchar, VE.Vn_Fecha, 112) >= '{fiaa_suc}' AND CONVERT(varchar, VE.Vn_Fecha, 112) <= '{ffaa_suc}'   AND ISNULL(VE.Es_Cve_Estado, '') <> 'CA' """"""         try:             r_año = execute_sql_query(server['host'], server['port'], server['database'],                                        server['username'], server['password'], query_año)             ventas_año = float(r_año[0]['ventas'] or 0) if r_año else 0             cheques_año = int(r_año[0]['cheques'] or 0) if r_año else 0             pax_año = int(r_año[0]['pax'] or 0) if r_año else 0             if pax_año == 0 and cheques_año > 0:                 pax_año = cheques_año         except Exception:             ventas_año, cheques_año, pax_año = 0, 0, 0 "
"/app/backend/modules/comercial/queries/mpro.py","199","execute_sql_query","","FROM Venta_Encabezado VE LEFT JOIN Comanda C ON C.Co_Folio = VE.Vn_Folio AND C.Sc_Cve_Sucursal = VE.Sc_Cve_Sucursal WHERE VE.Vn_Fecha >= CONVERT(datetime, '{fi}', 120) AND VE.Vn_Fecha <= CONVERT(datetime, '{ff}', 120)   AND ISNULL(VE.Es_Cve_Estado, '') <> 'CA'   {filtro_suc} """"""          try:         result = execute_sql_query(             server['host'],              server['port'],              server['database'],             server['username'],              server['password'],              query         )          "
"/app/backend/modules/comercial/queries/mpro.py","380","execute_sql_query","","{sucursal_join} WHERE VE.Vn_Fecha >= CONVERT(datetime, '{fi}', 120) AND VE.Vn_Fecha <= CONVERT(datetime, '{ff}', 120)   {filtro_cancelados}   {sucursal_filter} """"""          try:         print(f""*** [MPRO Query] Ejecutando query para {server.get('name')} sucursal={sucursal} ***"")         result = execute_sql_query(             server['host'],              server['port'],              server['database'],             server['username'],              server['password'],              query         )          "
"/app/backend/modules/comercial/queries/mpro.py","690","execute_sql_query","","INNER JOIN Sucursal S ON S.Sc_Cve_Sucursal = VE.Sc_Cve_Sucursal LEFT JOIN Comanda C ON C.Co_Folio = VE.Vn_Folio AND C.Sc_Cve_Sucursal = VE.Sc_Cve_Sucursal WHERE VE.Vn_Fecha >= CONVERT(datetime, '{fi}', 120) AND VE.Vn_Fecha <= CONVERT(datetime, '{ff}', 120) GROUP BY S.Sc_Cve_Sucursal, S.Sc_Descripcion ORDER BY SUM(VE.Vn_Precio_Neto_Importe) DESC """"""          try:         result = execute_sql_query(             server['host'],              server['port'],              server['database'],             server['username'],              server['password'],              query         )          "
"/app/backend/modules/comercial/queries/softrestaurant.py","181","execute_sql_query","","INNER JOIN turnos ON turnos.idturno = cheques.idturno WHERE CONVERT(varchar, turnos.apertura, 112) >= '{fi}'   AND CONVERT(varchar, turnos.apertura, 112) <= '{ff}'   AND cheques.cancelado = 0   {filtro_suc} """"""          try:         result = execute_sql_query(             server['host'],              server['port'],              server['database'],             server['username'],              server['password'],              query         )          "
"/app/backend/modules/comercial/alertas_margen_repository.py","108","execute_sql_query","","    if sucursal_id:         where_clauses.append(f""(SucursalID IS NULL OR SucursalID = {sucursal_id})"")          where_sql = "" AND "".join(where_clauses)     offset = (page - 1) * page_size          # Contar total     count_query = f""SELECT COUNT(*) as total FROM Comercial_AlertasMargenReglas WHERE {where_sql}""     count_result = execute_sql_query(*conn, count_query)     total = count_result[0].get('total', 0) if count_result else 0          # Obtener datos     data_query = f""""""     SELECT          CAST(ReglaMargenID AS NVARCHAR(36)) as regla_id,         NivelAplicacion as nivel_aplicacion,         GrupoCodigo as grupo_codigo, "
"/app/backend/modules/comercial/alertas_margen_repository.py","148","execute_sql_query","","            WHEN 'SUBFAMILIA' THEN 2             WHEN 'FAMILIA' THEN 3             WHEN 'GRUPO' THEN 4         END,         FechaCreacion DESC     OFFSET {offset} ROWS FETCH NEXT {page_size} ROWS ONLY     """"""          rows = execute_sql_query(*conn, data_query) or []          reglas = []     for row in rows:         reglas.append({             'regla_id': row.get('regla_id'),             'nivel_aplicacion': row.get('nivel_aplicacion'),             'grupo_codigo': row.get('grupo_codigo'),             'familia_codigo': row.get('familia_codigo'), "
"/app/backend/modules/comercial/alertas_margen_repository.py","225","execute_sql_query","","        FechaCreacion as fecha_creacion,         FechaModificacion as fecha_modificacion,         CreadoPor as creado_por,         ModificadoPor as modificado_por     FROM Comercial_AlertasMargenReglas     WHERE ReglaMargenID = '{regla_id}'     """"""          rows = execute_sql_query(*conn, query)     if not rows:         return None          row = rows[0]     return {         'regla_id': row.get('regla_id'),         'nivel_aplicacion': row.get('nivel_aplicacion'),         'grupo_codigo': row.get('grupo_codigo'), "
"/app/backend/modules/comercial/alertas_margen_repository.py","317","execute_sql_query","","        where_clauses.append(""SucursalID IS NULL"")          if excluir_regla_id:         where_clauses.append(f""ReglaMargenID != '{excluir_regla_id}'"")          where_sql = "" AND "".join(where_clauses)          query = f""SELECT COUNT(*) as cnt FROM Comercial_AlertasMargenReglas WHERE {where_sql}""     result = execute_sql_query(*conn, query)          return (result[0].get('cnt', 0) if result else 0) > 0   def crear_regla(     nivel_aplicacion: str,     entidad_codigo: str,     margen_esperado: float, "
"/app/backend/modules/comercial/alertas_margen_repository.py","421","execute_sql_query","","        1,         {fecha_inicio_sql},         {fecha_fin_sql},         GETDATE(),         '{creado_por_escaped}'     )     """"""          execute_sql_query(*conn, query)          logger.info(f""[ALERTAS_MARGEN] Regla creada: {regla_id} - {nivel_aplicacion}={entidad_codigo}"")          return obtener_regla_por_id(regla_id)   def actualizar_regla(     regla_id: str, "
