mongo_db,mongo_collection,mongo_docs,mongo_size,classification,sql_candidate,sql_candidate_rows,match_score,match_evidence,risk,recommendation,reason
edarsa_hub,audit_password_reset,3,806,Auditoría / Logs,dbo.Sync_Logs,3,0.2167,"campos_match=id,timestamp; conteo_similar mongo=3 sql~3",ALTO,MIGRAR_ANTES_DE_BORRAR,Sensible sin match SQL claro.
edarsa_hub,consultas_custom,6,7100,Configuración,dbo.Sistema_RBAC_Roles,6,0.1944,"campos_match=descripcion,nombre; conteo_similar mongo=6 sql~6",ALTO,MIGRAR_ANTES_DE_BORRAR,Sensible sin match SQL claro.
edarsa_hub,inventarios_procesados_auto,158,139938,Inventarios,dbo.Inventarios_ProcesadosAuto,158,0.241,tokens_nombre=inventarios; campos_match=id; conteo_similar mongo=158 sql~158,ALTO,MIGRAR_ANTES_DE_BORRAR,Sensible sin match SQL claro.
edarsa_hub,password_reset_tokens,0,0,Vacía / Sin datos,,,0,,BAJO,CANDIDATA_A_BORRADO_POSTERIOR,Colección vacía; respaldo certificado.
edarsa_hub,pedidos_procesados_automatizacion,2,412,Compras / Proveedores,dbo.automatizacion_inventarios_folios_procesados,1,0.2384,"tokens_nombre=automatizacion,procesados; campos_match=fecha_procesado,server_id",ALTO,MIGRAR_ANTES_DE_BORRAR,Sensible sin match SQL claro.
edarsa_hub,permisos_catalogos,8,3178,Auditoría / Logs,dbo.RBAC_Permisos,9,0.2233,tokens_nombre=permisos; conteo_similar mongo=8 sql~9,ALTO,MIGRAR_ANTES_DE_BORRAR,Sensible sin match SQL claro.
edarsa_hub,portal_suppliers,3,1617,Compras / Proveedores,dbo.Portal_Proveedores,3,0.2567,tokens_nombre=portal; campos_match=id; conteo_similar mongo=3 sql~3,ALTO,MIGRAR_ANTES_DE_BORRAR,Sensible sin match SQL claro.
edarsa_hub,propinas_config,1,562,Configuración,dbo.propinas_tpv_config,0,0.2657,"tokens_nombre=config,propinas; campos_match=created_at,created_by,id,motivo_cambio,updated_at,updated_by",ALTO,MIGRAR_ANTES_DE_BORRAR,Sensible sin match SQL claro.
edarsa_hub,rate_limit_password_reset,0,0,Vacía / Sin datos,,,0,,BAJO,CANDIDATA_A_BORRADO_POSTERIOR,Colección vacía; respaldo certificado.
edarsa_hub,rbac_audit_log,598,296342,Auditoría / Logs,dbo.Compras_Sync_Log,387,0.1824,tokens_nombre=log; campos_match=id,ALTO,MIGRAR_ANTES_DE_BORRAR,Sensible sin match SQL claro.
