classification,recommendation,method,route,function,line,uses_execute_sql_query,uses_pymssql,uses_pyodbc,uses_pytds,mentions_origin_system,mentions_no_live_policy,tables_detected,frontend_consumers_count,next_step
PERMITIDO_SYNC_BACKFILL_JOB,MANTENER_COMO_SYNC_CONTROLADO,GET,/comercial/tablero-ejecutivo,tablero_ejecutivo,535,False,False,False,False,True,True,core.unidades_registry;core.utils.operational_window;datetime;zoneinfo,20,"Verificar logs, idempotencia, helper central."
PERMITIDO_SYNC_BACKFILL_JOB,MANTENER_COMO_SYNC_CONTROLADO,GET,/comercial/sucursales/{server_id},obtener_sucursales,1913,True,False,False,False,False,False,Sistema_SucursalServidorMapeo;Sistema_Sucursales,20,"Verificar logs, idempotencia, helper central."
PERMITIDO_SYNC_BACKFILL_JOB,MANTENER_COMO_SYNC_CONTROLADO,GET,/comercial/metas/{server_id},comercial_metas,2014,True,True,False,False,True,False,Producto;Sync_Metas_Comerciales;Vendedor;Venta;Venta_Encabezado;cheqdet;cheques;meseros;modules.comercial.cache_service;productos;turnos,20,"Verificar logs, idempotencia, helper central."
PERMITIDO_SYNC_BACKFILL_JOB,MANTENER_COMO_SYNC_CONTROLADO,GET,/comercial/ticket-perfecto/{server_id},comercial_ticket_perfecto,2349,True,True,False,False,True,False,Sync_Ticket_Perfecto;cheqdet;cheques;modules.comercial.cache_service;productos;turnos,20,"Verificar logs, idempotencia, helper central."
PERMITIDO_SYNC_BACKFILL_JOB,MANTENER_COMO_SYNC_CONTROLADO,GET,/comercial/ventas-tiempo/{server_id},comercial_ventas_tiempo,2645,False,True,False,False,True,True,Sync_Ventas_PorHora;datetime,20,"Verificar logs, idempotencia, helper central."
PERMITIDO_SYNC_BACKFILL_JOB,MANTENER_COMO_SYNC_CONTROLADO,GET,/comercial/mesas/{server_id},comercial_mesas,2869,True,True,False,False,True,False,Comanda;Sucursal;Sync_Mesas;Venta_Encabezado;cheques;modules.comercial.cache_service;turnos,20,"Verificar logs, idempotencia, helper central."
PERMITIDO_SYNC_BACKFILL_JOB,MANTENER_COMO_SYNC_CONTROLADO,GET,/comercial/detalle-movimientos/{server_id},comercial_detalle_movimientos,3241,True,False,False,False,True,False,Comanda;Sucursal;Venta_Encabezado;cheques;turnos,20,"Verificar logs, idempotencia, helper central."
PERMITIDO_SYNC_BACKFILL_JOB,MANTENER_COMO_SYNC_CONTROLADO,GET,/comercial/precios-constantes/{server_id},ventas_precios_constantes,3500,True,False,False,False,True,False,Producto;Venta_Encabezado;cheqdet;cheques;productos;sucursal;turnos;venta,20,"Verificar logs, idempotencia, helper central."
PERMITIDO_SYNC_BACKFILL_JOB,MANTENER_COMO_SYNC_CONTROLADO,GET,/comercial/reporte-pax/{server_id},comercial_reporte_pax,4097,False,True,False,False,False,False,Sync_PAX_Detalle;modules.comercial.cache_service,20,"Verificar logs, idempotencia, helper central."
PERMITIDO_SYNC_BACKFILL_JOB,MANTENER_COMO_SYNC_CONTROLADO,GET,/comercial/dashboard/{server_id},comercial_dashboard,4223,False,False,False,False,True,True,.service,20,"Verificar logs, idempotencia, helper central."
PERMITIDO_SYNC_BACKFILL_JOB,MANTENER_COMO_SYNC_CONTROLADO,GET,/comercial/ventas-tiempo/{unit_id},ventas_tiempo,4714,False,False,False,False,False,False,,20,"Verificar logs, idempotencia, helper central."
