severity,classification,module,pattern,file,line,code
ALTA,PROHIBIDO_POSIBLE_LIVE_VISUAL,Comercial,remote POS names,/app/backend/modules/comercial/adapters.py,170,Consulta una API MPRO local y retorna los resultados.
ALTA,PROHIBIDO_POSIBLE_LIVE_VISUAL,Comercial,remote POS names,/app/backend/modules/comercial/cache_service.py,94,Ejemplo: comercial:dashboard:server123:suc001:MANAGEMENTPRO:2026-04-20:periodo=mes
ALTA,PROHIBIDO_POSIBLE_LIVE_VISUAL,Comercial,remote POS names,/app/backend/modules/comercial/crm_router.py,191,def crear_cotizacion_enterprise(cotizacion: CotizacionCreate):
ALTA,PROHIBIDO_POSIBLE_LIVE_VISUAL,Comercial,execute_sql_query,/app/backend/modules/comercial/historical_kpis_repository.py,95,return execute_sql_query(
ALTA,PROHIBIDO_POSIBLE_LIVE_VISUAL,Comercial,remote POS names,/app/backend/modules/comercial/inteligencia_comercial_routes.py,10,- No consulta SoftRestaurant/MPRO en vivo desde dashboard.
ALTA,PROHIBIDO_POSIBLE_LIVE_VISUAL,Comercial,remote POS names,/app/backend/modules/comercial/queries/mpro.py,37,- get_kpis_mpro() en service.py
ALTA,PROHIBIDO_POSIBLE_LIVE_VISUAL,Comercial,remote POS names,/app/backend/modules/comercial/queries/mpro.py,126,ORIGEN: Extraída de service.py líneas 871-884 (get_kpis_mpro_por_sucursal)
ALTA,PROHIBIDO_POSIBLE_LIVE_VISUAL,Comercial,remote POS names,/app/backend/modules/comercial/queries/mpro.py,145,- get_kpis_mpro_por_sucursal() en service.py (migración Bloque 4)
ALTA,PROHIBIDO_POSIBLE_LIVE_VISUAL,Comercial,remote POS names,/app/backend/modules/comercial/queries/mpro.py,146,- /comercial/tablero-ejecutivo para servidores MPRO
ALTA,PROHIBIDO_POSIBLE_LIVE_VISUAL,Comercial,remote POS names,/app/backend/modules/comercial/queries/mpro.py,245,# FUNCIÓN PARA DASHBOARD MPRO CON FILTRO FLEXIBLE
ALTA,PROHIBIDO_POSIBLE_LIVE_VISUAL,Comercial,remote POS names,/app/backend/modules/comercial/queries/mpro.py,265,- Usa la misma lógica que el endpoint dashboard MPRO
ALTA,PROHIBIDO_POSIBLE_LIVE_VISUAL,Comercial,remote POS names,/app/backend/modules/comercial/queries/mpro.py,278,- /comercial/dashboard/{server_id} (sección MPRO)
ALTA,PROHIBIDO_POSIBLE_LIVE_VISUAL,Comercial,remote POS names,/app/backend/modules/comercial/queries/mpro.py,362,# QUERY SQL - Basada en routes.py dashboard MPRO
ALTA,PROHIBIDO_POSIBLE_LIVE_VISUAL,Comercial,remote POS names,/app/backend/modules/comercial/queries/mpro.py,617,ORIGEN: Extraída de service.py líneas 862-884 (get_kpis_mpro_por_sucursal)
ALTA,PROHIBIDO_POSIBLE_LIVE_VISUAL,Comercial,remote POS names,/app/backend/modules/comercial/queries/mpro.py,638,- get_kpis_mpro_por_sucursal() en service.py (migración Bloque 4)
ALTA,PROHIBIDO_POSIBLE_LIVE_VISUAL,Comercial,remote POS names,/app/backend/modules/comercial/queries/softrestaurant.py,33,- get_kpis_softrestaurant() en service.py
ALTA,PROHIBIDO_POSIBLE_LIVE_VISUAL,Comercial,remote POS names,/app/backend/modules/comercial/queries/softrestaurant.py,106,ORIGEN: Extraída de service.py líneas 341-363 (get_kpis_softrestaurant)
ALTA,PROHIBIDO_POSIBLE_LIVE_VISUAL,Comercial,remote POS names,/app/backend/modules/comercial/queries/softrestaurant.py,121,- get_kpis_softrestaurant() en service.py (migración Bloque 4)
ALTA,PROHIBIDO_POSIBLE_LIVE_VISUAL,Comercial,remote POS names,/app/backend/modules/comercial/routes.py,46,- get_kpis_softrestaurant()
ALTA,PROHIBIDO_POSIBLE_LIVE_VISUAL,Comercial,remote POS names,/app/backend/modules/comercial/routes.py,47,- get_kpis_mpro()
ALTA,PROHIBIDO_POSIBLE_LIVE_VISUAL,Comercial,remote POS names,/app/backend/modules/comercial/routes.py,48,- get_kpis_mpro_por_sucursal()
ALTA,PROHIBIDO_POSIBLE_LIVE_VISUAL,Comercial,remote POS names,/app/backend/modules/comercial/routes.py,100,"get_kpis_softrestaurant,"
ALTA,PROHIBIDO_POSIBLE_LIVE_VISUAL,Comercial,remote POS names,/app/backend/modules/comercial/routes.py,101,"get_kpis_mpro,"
ALTA,PROHIBIDO_POSIBLE_LIVE_VISUAL,Comercial,remote POS names,/app/backend/modules/comercial/routes.py,102,"get_kpis_mpro_por_sucursal,"
ALTA,PROHIBIDO_POSIBLE_LIVE_VISUAL,Comercial,remote POS names,/app/backend/modules/comercial/routes.py,179,# remotos (SoftRestaurant/MPRO) desde la UI. Los endpoints afectados devolverán
ALTA,PROHIBIDO_POSIBLE_LIVE_VISUAL,Comercial,remote POS names,/app/backend/modules/comercial/routes.py,991,"kpis = get_kpis_softrestaurant(server, fecha_ini, fecha_fin, fecha_ini_ant, fecha_fin_ant,"
ALTA,PROHIBIDO_POSIBLE_LIVE_VISUAL,Comercial,remote POS names,/app/backend/modules/comercial/routes.py,1443,kpis_mpro = {
ALTA,PROHIBIDO_POSIBLE_LIVE_VISUAL,Comercial,remote POS names,/app/backend/modules/comercial/routes.py,1454,"server=server, kpis=kpis_mpro,"
