mongo_db,mongo_collection,mongo_docs,mongo_count_actual,classification,recommendation,risk,sql_candidato_canonico,sql_rows_aprox,score,score_explicito,evidencia,dictamen,accion_recomendada,confianza,razon
cab003,cargos_economicos,5,5,Legacy sin uso detectado,VALIDAR_MANUALMENTE,MEDIO,dbo.CavaSocios_Cargos,1,0.5367,1.0,hint_explicito=1.00; tokens=cargos,CUBIERTA_PARCIALMENTE,VALIDAR_MANUALMENTE,MEDIA_BAJA,Match parcial; no autoriza borrado.
cab003,detalle_diferencias,18,18,Legacy sin uso detectado,VALIDAR_MANUALMENTE,MEDIO,dbo.Inventarios_DiferenciasDetalle,24,0.5406,1.0,hint_explicito=1.00; campos=id,CUBIERTA_PARCIALMENTE,VALIDAR_MUESTRA_ANTES_DE_BORRAR,MEDIA,Tabla canónica esperada con datos; validar llaves/semántica.
cab003,notificaciones_log,4,4,Auditoría / Logs,MIGRAR_ANTES_DE_BORRAR,ALTO,dbo.Operativo_Notificaciones_Log,0,0.6288,1.0,"hint_explicito=1.00; tokens=log,notificaciones; campos=canal,destinatario,estado,id",SIN_COBERTURA,REQUIERE_MIGRACION_SEMANTICA,BAJA,Sin evidencia suficiente de cobertura.
cab003,responsabilidad_economica,5,5,Configuración,MIGRAR_ANTES_DE_BORRAR,ALTO,dbo.CavaSocios_Movimientos,3,0.51,1.0,hint_explicito=1.00,CUBIERTA_PARCIALMENTE,VALIDAR_MUESTRA_ANTES_DE_BORRAR,MEDIA,Tabla canónica esperada con datos; validar llaves/semántica.
cab003,responsabilidad_historial,10,10,Usuarios / Auth / RBAC,MIGRAR_ANTES_DE_BORRAR,ALTO,dbo.propinas_tpv_historial,0,0.5789,1.0,"hint_explicito=1.00; tokens=historial; campos=accion,estado_anterior,estado_nuevo,fecha,id,usuario_id",SIN_COBERTURA,REQUIERE_MIGRACION_SEMANTICA,BAJA,Sin evidencia suficiente de cobertura.
edarsa_hub,audit_password_reset,3,3,Auditoría / Logs,MIGRAR_ANTES_DE_BORRAR,ALTO,dbo.Sync_Logs,3,0.1417,0.0,"campos=id,timestamp",SIN_COBERTURA,REQUIERE_MIGRACION_SEMANTICA,BAJA,Sin evidencia suficiente de cobertura.
edarsa_hub,consultas_custom,6,6,Configuración,MIGRAR_ANTES_DE_BORRAR,ALTO,dbo.Sistema_ConsultasCustom,6,0.5625,1.0,hint_explicito=1.00; campos=id,CUBIERTA_PARCIALMENTE,VALIDAR_MUESTRA_ANTES_DE_BORRAR,MEDIA,Tabla canónica esperada con datos; validar llaves/semántica.
edarsa_hub,inventarios_procesados_auto,158,158,Inventarios,MIGRAR_ANTES_DE_BORRAR,ALTO,dbo.Inventarios_ProcesadosAuto,158,0.61,1.0,hint_explicito=1.00; tokens=inventarios; campos=id,CUBIERTA_PARCIALMENTE,VALIDAR_MUESTRA_ANTES_DE_BORRAR,MEDIA,Tabla canónica esperada con datos; validar llaves/semántica.
edarsa_hub,pedidos_procesados_automatizacion,2,2,Compras / Proveedores,MIGRAR_ANTES_DE_BORRAR,ALTO,dbo.automatizacion_inventarios_folios_procesados,1,0.6008,1.0,"hint_explicito=1.00; tokens=automatizacion,procesados; campos=fecha_procesado,server_id",CUBIERTA_PARCIALMENTE,VALIDAR_MUESTRA_ANTES_DE_BORRAR,MEDIA,Tabla canónica esperada con datos; validar llaves/semántica.
edarsa_hub,permisos_catalogos,8,8,Auditoría / Logs,MIGRAR_ANTES_DE_BORRAR,ALTO,dbo.RBAC_Permisos,9,0.6056,1.0,hint_explicito=1.00; tokens=permisos,CUBIERTA_PARCIALMENTE,VALIDAR_MUESTRA_ANTES_DE_BORRAR,MEDIA,Tabla canónica esperada con datos; validar llaves/semántica.
edarsa_hub,portal_suppliers,3,3,Compras / Proveedores,MIGRAR_ANTES_DE_BORRAR,ALTO,dbo.Portal_Proveedores,3,0.6271,1.0,hint_explicito=1.00; tokens=portal; campos=id,CUBIERTA_PARCIALMENTE,VALIDAR_MUESTRA_ANTES_DE_BORRAR,MEDIA,Tabla canónica esperada con datos; validar llaves/semántica.
edarsa_hub,propinas_config,1,1,Configuración,MIGRAR_ANTES_DE_BORRAR,ALTO,dbo.propinas_tpv_config,0,0.6369,1.0,"hint_explicito=1.00; tokens=config,propinas; campos=created_at,created_by,id,motivo_cambio,updated_at,updated_by",SIN_COBERTURA,REQUIERE_MIGRACION_SEMANTICA,BAJA,Sin evidencia suficiente de cobertura.
edarsa_hub,rbac_audit_log,598,598,Auditoría / Logs,MIGRAR_ANTES_DE_BORRAR,ALTO,dbo.Compras_Sync_Log,387,0.1179,0.0,tokens=log; campos=id,SIN_COBERTURA,REQUIERE_MIGRACION_SEMANTICA,BAJA,Sin evidencia suficiente de cobertura.
edarsa_hub,rbac_permisos,43,43,Usuarios / Auth / RBAC,MIGRAR_ANTES_DE_BORRAR,ALTO,dbo.RBAC_Permisos,9,0.7618,1.0,"hint_explicito=1.00; tokens=permisos,rbac; campos=accion,activo,descripcion,modulo",CUBIERTA_PARCIALMENTE,VALIDAR_MUESTRA_ANTES_DE_BORRAR,MEDIA,Tabla canónica esperada con datos; validar llaves/semántica.
