aprobar_borrado,base_mongo,coleccion_mongo,docs,clasificacion,recomendacion,riesgo,motivo,sql_candidate,match_score,observaciones_usuario
NO,edarsa_hub,password_reset_tokens,0,Vacía / Sin datos,CANDIDATA_A_BORRADO_POSTERIOR,BAJO,Colección vacía; respaldo certificado.,,0,
NO,edarsa_hub,rate_limit_password_reset,0,Vacía / Sin datos,CANDIDATA_A_BORRADO_POSTERIOR,BAJO,Colección vacía; respaldo certificado.,,0,
NO,edarsahub,notification_queue,0,Vacía / Sin datos,CANDIDATA_A_BORRADO_POSTERIOR,BAJO,Colección vacía; respaldo certificado.,,0,
NO,test_database,automatizaciones_bitacora,1,Pruebas / Test,BASE_DE_PRUEBAS_CANDIDATA_A_BORRADO,MEDIO,Base de pruebas; respaldo certificado. Requiere autorización final.,dbo.Finanzas_PropinasConfig,0.169,
NO,test_database,automatizaciones_operativas_compras,2,Pruebas / Test,BASE_DE_PRUEBAS_CANDIDATA_A_BORRADO,MEDIO,Base de pruebas; respaldo certificado. Requiere autorización final.,dbo.Compras_PedidosProcesadosAutomatizacion,0.2398,
NO,test_database,cargos_economicos,2,Pruebas / Test,BASE_DE_PRUEBAS_CANDIDATA_A_BORRADO,MEDIO,Base de pruebas; respaldo certificado. Requiere autorización final.,dbo.CavaSocios_Cargos,0.165,
NO,test_database,consultas_custom,4,Pruebas / Test,BASE_DE_PRUEBAS_CANDIDATA_A_BORRADO,MEDIO,Base de pruebas; respaldo certificado. Requiere autorización final.,dbo.CRM_Cat_TiposPipeline,0.2,
NO,test_database,detalle_diferencias,48,Pruebas / Test,BASE_DE_PRUEBAS_CANDIDATA_A_BORRADO,MEDIO,Base de pruebas; respaldo certificado. Requiere autorización final.,dbo.Products,0.1585,
NO,test_database,documentos_generados,9,Pruebas / Test,BASE_DE_PRUEBAS_CANDIDATA_A_BORRADO,MEDIO,Base de pruebas; respaldo certificado. Requiere autorización final.,dbo.Sistema_DeudaTecnica_TablasDuplicadas,0.1833,
NO,test_database,kpis_cache,46,Pruebas / Test,BASE_DE_PRUEBAS_CANDIDATA_A_BORRADO,MEDIO,Base de pruebas; respaldo certificado. Requiere autorización final.,dbo.Comercial_KPIs_Cache,0.2164,
NO,test_database,nomina_ciclos,3,Pruebas / Test,BASE_DE_PRUEBAS_CANDIDATA_A_BORRADO,MEDIO,Base de pruebas; respaldo certificado. Requiere autorización final.,dbo.Comercial_Ventas_Dia_Abiertas_v2_backup_migracion_codigos_20260513_0558,0.1985,
NO,test_database,nomina_kpis_puestos,1,Pruebas / Test,BASE_DE_PRUEBAS_CANDIDATA_A_BORRADO,MEDIO,Base de pruebas; respaldo certificado. Requiere autorización final.,dbo.Finanzas_PropinasConfig,0.1786,
NO,test_database,nomina_movimientos,3,Pruebas / Test,BASE_DE_PRUEBAS_CANDIDATA_A_BORRADO,MEDIO,Base de pruebas; respaldo certificado. Requiere autorización final.,dbo.CavaSocios_Movimientos,0.24,
NO,test_database,notification_templates,9,Pruebas / Test,BASE_DE_PRUEBAS_CANDIDATA_A_BORRADO,MEDIO,Base de pruebas; respaldo certificado. Requiere autorización final.,dbo.Unidades_Negocio,0.2433,
NO,test_database,portal_suppliers,1,Pruebas / Test,BASE_DE_PRUEBAS_CANDIDATA_A_BORRADO,MEDIO,Base de pruebas; respaldo certificado. Requiere autorización final.,dbo.Sync_Vtiger_Contactos,0.1695,
NO,test_database,propinas_cache_listado,7,Pruebas / Test,BASE_DE_PRUEBAS_CANDIDATA_A_BORRADO,MEDIO,Base de pruebas; respaldo certificado. Requiere autorización final.,dbo.Sistema_ServidoresSucursalesConfig,0.1808,
NO,test_database,queries,4,Pruebas / Test,BASE_DE_PRUEBAS_CANDIDATA_A_BORRADO,MEDIO,Base de pruebas; respaldo certificado. Requiere autorización final.,dbo.Sistema_Queries,0.2892,
NO,test_database,responsabilidad_economica,5,Pruebas / Test,BASE_DE_PRUEBAS_CANDIDATA_A_BORRADO,MEDIO,Base de pruebas; respaldo certificado. Requiere autorización final.,dbo.Comercial_Ventas_Dia_Abiertas_v2_Backup_FechaOperacion_20260521,0.1786,
NO,test_database,responsabilidad_historial,37,Pruebas / Test,BASE_DE_PRUEBAS_CANDIDATA_A_BORRADO,MEDIO,Base de pruebas; respaldo certificado. Requiere autorización final.,dbo.propinas_tpv_historial,0.2013,
NO,test_database,scripts_pendientes,58,Pruebas / Test,BASE_DE_PRUEBAS_CANDIDATA_A_BORRADO,MEDIO,Base de pruebas; respaldo certificado. Requiere autorización final.,dbo.RH_Homologacion_Equivalencias,0.163,
NO,test_database,sec_empresas,1,Pruebas / Test,BASE_DE_PRUEBAS_CANDIDATA_A_BORRADO,MEDIO,Base de pruebas; respaldo certificado. Requiere autorización final.,dbo.CRM_Config_Pipelines,0.21,
NO,test_database,sec_mapeo_servidor_sucursal,7,Pruebas / Test,BASE_DE_PRUEBAS_CANDIDATA_A_BORRADO,MEDIO,Base de pruebas; respaldo certificado. Requiere autorización final.,dbo.Finanzas_ConfiguracionTPV_Sucursal,0.1993,
NO,test_database,sec_metadata,1,Pruebas / Test,BASE_DE_PRUEBAS_CANDIDATA_A_BORRADO,MEDIO,Base de pruebas; respaldo certificado. Requiere autorización final.,dbo.Finanzas_PropinasConfig,0.1767,
NO,test_database,sec_modulos_sistema,10,Pruebas / Test,BASE_DE_PRUEBAS_CANDIDATA_A_BORRADO,MEDIO,Base de pruebas; respaldo certificado. Requiere autorización final.,dbo.Sistema_Modulos,0.405,
NO,test_database,sec_sucursales,7,Pruebas / Test,BASE_DE_PRUEBAS_CANDIDATA_A_BORRADO,MEDIO,Base de pruebas; respaldo certificado. Requiere autorización final.,dbo.Unidades_Negocio,0.2321,
NO,test_database,sec_unidades_negocio,7,Pruebas / Test,BASE_DE_PRUEBAS_CANDIDATA_A_BORRADO,MEDIO,Base de pruebas; respaldo certificado. Requiere autorización final.,dbo.Unidades_Negocio,0.3871,
NO,test_database,tareas_sistema,22,Pruebas / Test,BASE_DE_PRUEBAS_CANDIDATA_A_BORRADO,MEDIO,Base de pruebas; respaldo certificado. Requiere autorización final.,dbo.Sistema_TurnosOperativosUnidad,0.2744,
